0,tcp,http,SF,325,1340,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,8,0.00,0.00,0.00,0.00,1.00,0.00,0.25,117,255,1.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,1
0,tcp,http,SF,256,13671,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0.00,0.00,0.00,0.00,1.00,0.00,0.00,122,255,1.00,0.00,0.01,0.01,0.00,0.01,0.00,0.00,1
0,tcp,http,SF,246,1435,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0.00,0.00,0.00,0.00,1.00,0.00,0.50,13,255,1.00,0.00,0.08,0.04,0.00,0.00,0.00,0.00,1
0,tcp,http,SF,195,174,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,4,255,1.00,0.00,0.25,0.02,0.00,0.00,0.00,0.00,1
0,tcp,http,SF,281,9525,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,209,255,1.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,1
2630,udp,other,SF,146,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,255,1,0.00,0.87,1.00,0.00,0.00,0.00,0.00,0.00,1
0,tcp,http,SF,275,327,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,40,0.00,0.00,0.00,0.00,1.00,0.00,0.12,63,255,1.00,0.00,0.02,0.06,0.00,0.00,0.00,0.00,1
0,udp,private,SF,105,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,255,250,0.98,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1
0,udp,other,SF,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.25,0.75,0.00,255,1,0.00,0.63,0.97,0.00,0.00,0.00,0.00,0.00,1
0,udp,domain_u,SF,44,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,79,0.00,0.00,0.00,0.00,1.00,0.00,0.03,82,223,0.84,0.02,0.84,0.01,0.00,0.00,0.10,0.00,1
0,tcp,http,SF,195,370,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0.00,0.00,0.00,0.00,1.00,0.00,0.00,118,255,1.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,1
